State,Year,Month,Target
Colorado,2020,1,833
Colorado,2020,2,833
Colorado,2020,3,833
Colorado,2020,4,833
Colorado,2020,5,833
Colorado,2020,6,833
Colorado,2020,7,833
Colorado,2020,8,833
Colorado,2020,9,833
Colorado,2020,10,833
Colorado,2020,11,833
Colorado,2020,12,833
Arizona,2020,1,833
Arizona,2020,2,833
Arizona,2020,3,833
Arizona,2020,4,833
Arizona,2020,5,833
Arizona,2020,6,833
Arizona,2020,7,833
Arizona,2020,8,833
Arizona,2020,9,833
Arizona,2020,10,833
Arizona,2020,11,833
Arizona,2020,12,833
Delaware,2020,1,833
Delaware,2020,2,833
Delaware,2020,3,833
Delaware,2020,4,833
Delaware,2020,5,833
Delaware,2020,6,833
Delaware,2020,7,833
Delaware,2020,8,833
Delaware,2020,9,833
Delaware,2020,10,833
Delaware,2020,11,833
Delaware,2020,12,833
Kentucky,2020,1,833
Kentucky,2020,2,833
Kentucky,2020,3,833
Kentucky,2020,4,833
Kentucky,2020,5,833
Kentucky,2020,6,833
Kentucky,2020,7,833
Kentucky,2020,8,833
Kentucky,2020,9,833
Kentucky,2020,10,833
Kentucky,2020,11,833
Kentucky,2020,12,833
Tennessee,2020,1,833
Tennessee,2020,2,833
Tennessee,2020,3,833
Tennessee,2020,4,833
Tennessee,2020,5,833
Tennessee,2020,6,833
Tennessee,2020,7,833
Tennessee,2020,8,833
Tennessee,2020,9,833
Tennessee,2020,10,833
Tennessee,2020,11,833
Tennessee,2020,12,833
Vermont,2020,1,42
Vermont,2020,2,42
Vermont,2020,3,42
Vermont,2020,4,42
Vermont,2020,5,42
Vermont,2020,6,42
Vermont,2020,7,42
Vermont,2020,8,42
Vermont,2020,9,42
Vermont,2020,10,42
Vermont,2020,11,42
Vermont,2020,12,42
North Dakota,2020,1,42
North Dakota,2020,2,42
North Dakota,2020,3,42
North Dakota,2020,4,42
North Dakota,2020,5,42
North Dakota,2020,6,42
North Dakota,2020,7,42
North Dakota,2020,8,42
North Dakota,2020,9,42
North Dakota,2020,10,42
North Dakota,2020,11,42
North Dakota,2020,12,42
South Dakota,2020,1,42
South Dakota,2020,2,42
South Dakota,2020,3,42
South Dakota,2020,4,42
South Dakota,2020,5,42
South Dakota,2020,6,42
South Dakota,2020,7,42
South Dakota,2020,8,42
South Dakota,2020,9,42
South Dakota,2020,10,42
South Dakota,2020,11,42
South Dakota,2020,12,42
West Virginia,2020,1,42
West Virginia,2020,2,42
West Virginia,2020,3,42
West Virginia,2020,4,42
West Virginia,2020,5,42
West Virginia,2020,6,42
West Virginia,2020,7,42
West Virginia,2020,8,42
West Virginia,2020,9,42
West Virginia,2020,10,42
West Virginia,2020,11,42
West Virginia,2020,12,42
Idaho,2020,1,42
Idaho,2020,2,42
Idaho,2020,3,42
Idaho,2020,4,42
Idaho,2020,5,42
Idaho,2020,6,42
Idaho,2020,7,42
Idaho,2020,8,42
Idaho,2020,9,42
Idaho,2020,10,42
Idaho,2020,11,42
Idaho,2020,12,42
New Hampshire,2020,1,125
New Hampshire,2020,2,125
New Hampshire,2020,3,125
New Hampshire,2020,4,125
New Hampshire,2020,5,125
New Hampshire,2020,6,125
New Hampshire,2020,7,125
New Hampshire,2020,8,125
New Hampshire,2020,9,125
New Hampshire,2020,10,125
New Hampshire,2020,11,125
New Hampshire,2020,12,125
South Carolina,2020,1,125
South Carolina,2020,2,125
South Carolina,2020,3,125
South Carolina,2020,4,125
South Carolina,2020,5,125
South Carolina,2020,6,125
South Carolina,2020,7,125
South Carolina,2020,8,125
South Carolina,2020,9,125
South Carolina,2020,10,125
South Carolina,2020,11,125
South Carolina,2020,12,125
Alabama,2020,1,125
Alabama,2020,2,125
Alabama,2020,3,125
Alabama,2020,4,125
Alabama,2020,5,125
Alabama,2020,6,125
Alabama,2020,7,125
Alabama,2020,8,125
Alabama,2020,9,125
Alabama,2020,10,125
Alabama,2020,11,125
Alabama,2020,12,125
Utah,2020,1,125
Utah,2020,2,125
Utah,2020,3,125
Utah,2020,4,125
Utah,2020,5,125
Utah,2020,6,125
Utah,2020,7,125
Utah,2020,8,125
Utah,2020,9,125
Utah,2020,10,125
Utah,2020,11,125
Utah,2020,12,125
Arkansas,2020,1,125
Arkansas,2020,2,125
Arkansas,2020,3,125
Arkansas,2020,4,125
Arkansas,2020,5,125
Arkansas,2020,6,125
Arkansas,2020,7,125
Arkansas,2020,8,125
Arkansas,2020,9,125
Arkansas,2020,10,125
Arkansas,2020,11,125
Arkansas,2020,12,125
New Mexico,2020,1,208
New Mexico,2020,2,208
New Mexico,2020,3,208
New Mexico,2020,4,208
New Mexico,2020,5,208
New Mexico,2020,6,208
New Mexico,2020,7,208
New Mexico,2020,8,208
New Mexico,2020,9,208
New Mexico,2020,10,208
New Mexico,2020,11,208
New Mexico,2020,12,208
Oregon,2020,1,208
Oregon,2020,2,208
Oregon,2020,3,208
Oregon,2020,4,208
Oregon,2020,5,208
Oregon,2020,6,208
Oregon,2020,7,208
Oregon,2020,8,208
Oregon,2020,9,208
Oregon,2020,10,208
Oregon,2020,11,208
Oregon,2020,12,208
Mississippi,2020,1,250
Mississippi,2020,2,250
Mississippi,2020,3,250
Mississippi,2020,4,250
Mississippi,2020,5,250
Mississippi,2020,6,250
Mississippi,2020,7,250
Mississippi,2020,8,250
Mississippi,2020,9,250
Mississippi,2020,10,250
Mississippi,2020,11,250
Mississippi,2020,12,250
Nevada,2020,1,250
Nevada,2020,2,250
Nevada,2020,3,250
Nevada,2020,4,250
Nevada,2020,5,250
Nevada,2020,6,250
Nevada,2020,7,250
Nevada,2020,8,250
Nevada,2020,9,250
Nevada,2020,10,250
Nevada,2020,11,250
Nevada,2020,12,250
Rhode Island,2020,1,250
Rhode Island,2020,2,250
Rhode Island,2020,3,250
Rhode Island,2020,4,250
Rhode Island,2020,5,250
Rhode Island,2020,6,250
Rhode Island,2020,7,250
Rhode Island,2020,8,250
Rhode Island,2020,9,250
Rhode Island,2020,10,250
Rhode Island,2020,11,250
Rhode Island,2020,12,250
Nebraska,2020,1,333
Nebraska,2020,2,333
Nebraska,2020,3,333
Nebraska,2020,4,333
Nebraska,2020,5,333
Nebraska,2020,6,333
Nebraska,2020,7,333
Nebraska,2020,8,333
Nebraska,2020,9,333
Nebraska,2020,10,333
Nebraska,2020,11,333
Nebraska,2020,12,333
Montana,2020,1,333
Montana,2020,2,333
Montana,2020,3,333
Montana,2020,4,333
Montana,2020,5,333
Montana,2020,6,333
Montana,2020,7,333
Montana,2020,8,333
Montana,2020,9,333
Montana,2020,10,333
Montana,2020,11,333
Montana,2020,12,333
Connecticut,2020,1,333
Connecticut,2020,2,333
Connecticut,2020,3,333
Connecticut,2020,4,333
Connecticut,2020,5,333
Connecticut,2020,6,333
Connecticut,2020,7,333
Connecticut,2020,8,333
Connecticut,2020,9,333
Connecticut,2020,10,333
Connecticut,2020,11,333
Connecticut,2020,12,333
Louisiana,2020,1,333
Louisiana,2020,2,333
Louisiana,2020,3,333
Louisiana,2020,4,333
Louisiana,2020,5,333
Louisiana,2020,6,333
Louisiana,2020,7,333
Louisiana,2020,8,333
Louisiana,2020,9,333
Louisiana,2020,10,333
Louisiana,2020,11,333
Louisiana,2020,12,333
Wisconsin,2020,1,417
Wisconsin,2020,2,417
Wisconsin,2020,3,417
Wisconsin,2020,4,417
Wisconsin,2020,5,417
Wisconsin,2020,6,417
Wisconsin,2020,7,417
Wisconsin,2020,8,417
Wisconsin,2020,9,417
Wisconsin,2020,10,417
Wisconsin,2020,11,417
Wisconsin,2020,12,417
Oklahoma,2020,1,417
Oklahoma,2020,2,417
Oklahoma,2020,3,417
Oklahoma,2020,4,417
Oklahoma,2020,5,417
Oklahoma,2020,6,417
Oklahoma,2020,7,417
Oklahoma,2020,8,417
Oklahoma,2020,9,417
Oklahoma,2020,10,417
Oklahoma,2020,11,417
Oklahoma,2020,12,417
Minnesota,2020,1,417
Minnesota,2020,2,417
Minnesota,2020,3,417
Minnesota,2020,4,417
Minnesota,2020,5,417
Minnesota,2020,6,417
Minnesota,2020,7,417
Minnesota,2020,8,417
Minnesota,2020,9,417
Minnesota,2020,10,417
Minnesota,2020,11,417
Minnesota,2020,12,417
Virginia,2020,1,417
Virginia,2020,2,417
Virginia,2020,3,417
Virginia,2020,4,417
Virginia,2020,5,417
Virginia,2020,6,417
Virginia,2020,7,417
Virginia,2020,8,417
Virginia,2020,9,417
Virginia,2020,10,417
Virginia,2020,11,417
Virginia,2020,12,417
Massachusetts,2020,1,500
Massachusetts,2020,2,500
Massachusetts,2020,3,500
Massachusetts,2020,4,500
Massachusetts,2020,5,500
Massachusetts,2020,6,500
Massachusetts,2020,7,500
Massachusetts,2020,8,500
Massachusetts,2020,9,500
Massachusetts,2020,10,500
Massachusetts,2020,11,500
Massachusetts,2020,12,500
Missouri,2020,1,500
Missouri,2020,2,500
Missouri,2020,3,500
Missouri,2020,4,500
Missouri,2020,5,500
Missouri,2020,6,500
Missouri,2020,7,500
Missouri,2020,8,500
Missouri,2020,9,500
Missouri,2020,10,500
Missouri,2020,11,500
Missouri,2020,12,500
Maryland,2020,1,500
Maryland,2020,2,500
Maryland,2020,3,500
Maryland,2020,4,500
Maryland,2020,5,500
Maryland,2020,6,500
Maryland,2020,7,500
Maryland,2020,8,500
Maryland,2020,9,500
Maryland,2020,10,500
Maryland,2020,11,500
Maryland,2020,12,500
Indiana,2020,1,1667
Indiana,2020,2,1667
Indiana,2020,3,1667
Indiana,2020,4,1667
Indiana,2020,5,1667
Indiana,2020,6,1667
Indiana,2020,7,1667
Indiana,2020,8,1667
Indiana,2020,9,1667
Indiana,2020,10,1667
Indiana,2020,11,1667
Indiana,2020,12,1667
Georgia,2020,1,1667
Georgia,2020,2,1667
Georgia,2020,3,1667
Georgia,2020,4,1667
Georgia,2020,5,1667
Georgia,2020,6,1667
Georgia,2020,7,1667
Georgia,2020,8,1667
Georgia,2020,9,1667
Georgia,2020,10,1667
Georgia,2020,11,1667
Georgia,2020,12,1667
Ohio,2020,1,1667
Ohio,2020,2,1667
Ohio,2020,3,1667
Ohio,2020,4,1667
Ohio,2020,5,1667
Ohio,2020,6,1667
Ohio,2020,7,1667
Ohio,2020,8,1667
Ohio,2020,9,1667
Ohio,2020,10,1667
Ohio,2020,11,1667
Ohio,2020,12,1667
North Carolina,2020,1,1667
North Carolina,2020,2,1667
North Carolina,2020,3,1667
North Carolina,2020,4,1667
North Carolina,2020,5,1667
North Carolina,2020,6,1667
North Carolina,2020,7,1667
North Carolina,2020,8,1667
North Carolina,2020,9,1667
North Carolina,2020,10,1667
North Carolina,2020,11,1667
North Carolina,2020,12,1667
Illinois,2020,1,1667
Illinois,2020,2,1667
Illinois,2020,3,1667
Illinois,2020,4,1667
Illinois,2020,5,1667
Illinois,2020,6,1667
Illinois,2020,7,1667
Illinois,2020,8,1667
Illinois,2020,9,1667
Illinois,2020,10,1667
Illinois,2020,11,1667
Illinois,2020,12,1667
Michigan,2020,1,2083
Michigan,2020,2,2083
Michigan,2020,3,2083
Michigan,2020,4,2083
Michigan,2020,5,2083
Michigan,2020,6,2083
Michigan,2020,7,2083
Michigan,2020,8,2083
Michigan,2020,9,2083
Michigan,2020,10,2083
Michigan,2020,11,2083
Michigan,2020,12,2083
Florida,2020,1,2500
Florida,2020,2,2500
Florida,2020,3,2500
Florida,2020,4,2500
Florida,2020,5,2500
Florida,2020,6,2500
Florida,2020,7,2500
Florida,2020,8,2500
Florida,2020,9,2500
Florida,2020,10,2500
Florida,2020,11,2500
Florida,2020,12,2500
Pennsylvania,2020,1,3333
Pennsylvania,2020,2,3333
Pennsylvania,2020,3,3333
Pennsylvania,2020,4,3333
Pennsylvania,2020,5,3333
Pennsylvania,2020,6,3333
Pennsylvania,2020,7,3333
Pennsylvania,2020,8,3333
Pennsylvania,2020,9,3333
Pennsylvania,2020,10,3333
Pennsylvania,2020,11,3333
Pennsylvania,2020,12,3333
Texas,2020,1,6250
Texas,2020,2,6250
Texas,2020,3,6250
Texas,2020,4,6250
Texas,2020,5,6250
Texas,2020,6,6250
Texas,2020,7,6250
Texas,2020,8,6250
Texas,2020,9,6250
Texas,2020,10,6250
Texas,2020,11,6250
Texas,2020,12,6250
Washington,2020,1,10000
Washington,2020,2,10000
Washington,2020,3,10000
Washington,2020,4,10000
Washington,2020,5,10000
Washington,2020,6,10000
Washington,2020,7,10000
Washington,2020,8,10000
Washington,2020,9,10000
Washington,2020,10,10000
Washington,2020,11,10000
Washington,2020,12,10000
California,2020,1,33
California,2020,2,33
California,2020,3,33
California,2020,4,33
California,2020,5,33
California,2020,6,33
California,2020,7,33
California,2020,8,33
California,2020,9,33
California,2020,10,33
California,2020,11,33
California,2020,12,33
Vermont,2021,1,42
Vermont,2021,2,42
Vermont,2021,3,42
Vermont,2021,4,42
Vermont,2021,5,42
Vermont,2021,6,42
Vermont,2021,7,42
Vermont,2021,8,42
Vermont,2021,9,42
Vermont,2021,10,42
Vermont,2021,11,42
Vermont,2021,12,42
North Dakota,2021,1,42
North Dakota,2021,2,42
North Dakota,2021,3,42
North Dakota,2021,4,42
North Dakota,2021,5,42
North Dakota,2021,6,42
North Dakota,2021,7,42
North Dakota,2021,8,42
North Dakota,2021,9,42
North Dakota,2021,10,42
North Dakota,2021,11,42
North Dakota,2021,12,42
South Dakota,2021,1,42
South Dakota,2021,2,42
South Dakota,2021,3,42
South Dakota,2021,4,42
South Dakota,2021,5,42
South Dakota,2021,6,42
South Dakota,2021,7,42
South Dakota,2021,8,42
South Dakota,2021,9,42
South Dakota,2021,10,42
South Dakota,2021,11,42
South Dakota,2021,12,42
West Virginia,2021,1,83
West Virginia,2021,2,83
West Virginia,2021,3,83
West Virginia,2021,4,83
West Virginia,2021,5,83
West Virginia,2021,6,83
West Virginia,2021,7,83
West Virginia,2021,8,83
West Virginia,2021,9,83
West Virginia,2021,10,83
West Virginia,2021,11,83
West Virginia,2021,12,83
Idaho,2021,1,83
Idaho,2021,2,83
Idaho,2021,3,83
Idaho,2021,4,83
Idaho,2021,5,83
Idaho,2021,6,83
Idaho,2021,7,83
Idaho,2021,8,83
Idaho,2021,9,83
Idaho,2021,10,83
Idaho,2021,11,83
Idaho,2021,12,83
New Hampshire,2021,1,125
New Hampshire,2021,2,125
New Hampshire,2021,3,125
New Hampshire,2021,4,125
New Hampshire,2021,5,125
New Hampshire,2021,6,125
New Hampshire,2021,7,125
New Hampshire,2021,8,125
New Hampshire,2021,9,125
New Hampshire,2021,10,125
New Hampshire,2021,11,125
New Hampshire,2021,12,125
South Carolina,2021,1,125
South Carolina,2021,2,125
South Carolina,2021,3,125
South Carolina,2021,4,125
South Carolina,2021,5,125
South Carolina,2021,6,125
South Carolina,2021,7,125
South Carolina,2021,8,125
South Carolina,2021,9,125
South Carolina,2021,10,125
South Carolina,2021,11,125
South Carolina,2021,12,125
Alabama,2021,1,125
Alabama,2021,2,125
Alabama,2021,3,125
Alabama,2021,4,125
Alabama,2021,5,125
Alabama,2021,6,125
Alabama,2021,7,125
Alabama,2021,8,125
Alabama,2021,9,125
Alabama,2021,10,125
Alabama,2021,11,125
Alabama,2021,12,125
Utah,2021,1,125
Utah,2021,2,125
Utah,2021,3,125
Utah,2021,4,125
Utah,2021,5,125
Utah,2021,6,125
Utah,2021,7,125
Utah,2021,8,125
Utah,2021,9,125
Utah,2021,10,125
Utah,2021,11,125
Utah,2021,12,125
Arkansas,2021,1,125
Arkansas,2021,2,125
Arkansas,2021,3,125
Arkansas,2021,4,125
Arkansas,2021,5,125
Arkansas,2021,6,125
Arkansas,2021,7,125
Arkansas,2021,8,125
Arkansas,2021,9,125
Arkansas,2021,10,125
Arkansas,2021,11,125
Arkansas,2021,12,125
New Mexico,2021,1,208
New Mexico,2021,2,208
New Mexico,2021,3,208
New Mexico,2021,4,208
New Mexico,2021,5,208
New Mexico,2021,6,208
New Mexico,2021,7,208
New Mexico,2021,8,208
New Mexico,2021,9,208
New Mexico,2021,10,208
New Mexico,2021,11,208
New Mexico,2021,12,208
Oregon,2021,1,208
Oregon,2021,2,208
Oregon,2021,3,208
Oregon,2021,4,208
Oregon,2021,5,208
Oregon,2021,6,208
Oregon,2021,7,208
Oregon,2021,8,208
Oregon,2021,9,208
Oregon,2021,10,208
Oregon,2021,11,208
Oregon,2021,12,208
Mississippi,2021,1,250
Mississippi,2021,2,250
Mississippi,2021,3,250
Mississippi,2021,4,250
Mississippi,2021,5,250
Mississippi,2021,6,250
Mississippi,2021,7,250
Mississippi,2021,8,250
Mississippi,2021,9,250
Mississippi,2021,10,250
Mississippi,2021,11,250
Mississippi,2021,12,250
Nevada,2021,1,250
Nevada,2021,2,250
Nevada,2021,3,250
Nevada,2021,4,250
Nevada,2021,5,250
Nevada,2021,6,250
Nevada,2021,7,250
Nevada,2021,8,250
Nevada,2021,9,250
Nevada,2021,10,250
Nevada,2021,11,250
Nevada,2021,12,250
Rhode Island,2021,1,250
Rhode Island,2021,2,250
Rhode Island,2021,3,250
Rhode Island,2021,4,250
Rhode Island,2021,5,250
Rhode Island,2021,6,250
Rhode Island,2021,7,250
Rhode Island,2021,8,250
Rhode Island,2021,9,250
Rhode Island,2021,10,250
Rhode Island,2021,11,250
Rhode Island,2021,12,250
Nebraska,2021,1,333
Nebraska,2021,2,333
Nebraska,2021,3,333
Nebraska,2021,4,333
Nebraska,2021,5,333
Nebraska,2021,6,333
Nebraska,2021,7,333
Nebraska,2021,8,333
Nebraska,2021,9,333
